node
Crocodilia
Albertochampsa
Albertosuchus
Alligatoroidea
Asiatosuchus
Astorgosuchus
Atacisaurus
Brachychampsa
Brachyuranochampsa
Brasilosuchus
Brevirostres
Charactosuchus
CrocBITE
Crocodilian armor
Crocodyloidea
"""Crocodylus"" acer"
"""Crocodylus"" affinis"
"""Crocodylus"" megarhinus"
Deinosuchus
Diplocynodon
Dollosuchoides
Dongnanosuchus
Dzungarisuchus
Eoalligator
Foramen of Panizza
Gavialoidea
Gavialosuchus
Globidonta
Harpacochampsa
Hypselornis
Jiangxisuchus
Kentisuchus
Krabisuchus
Leidyosuchus
Leptorrhamphus
Lianghusuchus
List of crocodilians
Listrognathosuchus
Longirostres
Manracosuchus
Maomingosuchus
Maroccosuchus
Megadontosuchus
Orientalosuchina
Orientalosuchus
Paratomistoma
Pristichampsus
Prodiplocynodon
Protoalligator
Stangerochampsa
Thecachampsa
Tienosuchus
Tomistominae
Xiaohe (crocodile)
Alligatoridae
Acresuchus
Akanthosuchus
Alligator
Alligatorinae
Allognathosuchus
Arambourgia
Balanerodus
Black caiman
Bottosaurus
Broad-snouted caiman
Caiman
Caiman (genus)
Caiman australis
Caiman brevirostris
Caiman venezuelensis
Caiman wannlangstoni
Centenariosuchus
Ceratosuchus
Chinatichampsus
Chrysochampsa
Culebrasuchus
Cuvier's dwarf caiman
Dinosuchus
Eocaiman
Globidentosuchus
Gnatusuchus
Hassiacosuchus
Jacarea
Letiche
Melanosuchus
Menatalligator
Mourasuchus
Navajosuchus
Necrosuchus
Orthogenysuchus
Paleosuchus
Procaimanoidea
Protocaiman
Purussaurus
Sajkanosuchus
Smooth-fronted caiman
Spectacled caiman
Tsoabichi
Wannaganosuchus
Yacare caiman
American alligator
Chinese alligator
Alligator hailensis
Alligator mcgrewi
Alligator mefferdi
Alligator munensis
Alligator olseni
Alligator prenasalis
Alligator thomsoni
Alligator bait
Alligator Festival
Alligator hunting
Alligator leather
Alligator meat
Alligator wrestling
List of fatal alligator attacks in the United States
Gator bait
Louis (Disney)
Sewer alligator
Crocodile
Gavialidae
Planocraniidae
Pristichampsidae
Central African slender-snouted crocodile
West African slender-snouted crocodile
Dwarf crocodile
Nile crocodile
Osteolaemus
Osteolaemus osborni
Paga Crocodile Pond
Voay
West African crocodile
Crocodile farming in the Philippines
Crocodile Rehabilitation and Research Centre
Crocodylus raninus
False gharial
Gharial
Crocodilia in India
Kukrail Reserve Forest
Madras Crocodile Bank Trust
Mugger crocodile
Philippine crocodile
Saltwater crocodile
Siamese crocodile
Australosuchus
Baru
Baru huberi
Crocodile skin
Freshwater crocodile
Gunggamarandu
Kambara
Paludirex
Quinkana
Trilophosuchus
Ultrastenos
Crocodylus halli
New Guinea crocodile
American crocodile
Cuban crocodile
Morelet's crocodile
Orinoco crocodile
Aldabrachampsus
Crocodile attack
Brochuchus
Crocodile fat
Crocodile meat
Crocodile oil
Crocodile tears
Crocodylinae
Crocodylus
Crocodylus acutus
Crocodylus anthropophagus
Crocodylus checchiai
Crocodylus falconensis
Crocodylus gariepensis
"""Crocodylus"" gariepensis"
Crocodylus palaeindicus
Crocodylus thorbjarnarsoni
Dietary biology of the Nile crocodile
Euthecodon
Griphobilharzia amoena
Kinyang (genus)
Mecistops
Osteolaeminae
Oxysdonsaurus
Rimasuchus
Tzaganosuchus
Coat of arms of Jamaica
Coat of arms of Lesotho
Coat of arms of Solomon Islands
Hendrik Coetzee
Jesús Alberto López
Battle of Ramree Island
Richard Root
Crocodile farm
"Crocodile Breeding Centre, Kurukshetra"
Gatwala Wildlife Park
Hartley's Crocodile Adventures
Palawan Wildlife Rescue and Conservation Center
Samutprakarn Crocodile Farm and Zoo
Jong's Crocodile Farm and Zoo
Melaka Crocodile Farm
Miri Crocodile Farm cum Mini Zoo
Cassius (crocodile)
Gomek
Gustave (crocodile)
Lolong
Pocho (crocodile)
Pui Pui (crocodile)
Sweetheart (crocodile)
Mekosuchinae
List of fictional crocodilians
Albert and Alberta Gator
Alfy Gator
Alligator Loki
Alligator Pie
Attack of the Alligators!
Can You Teach My Alligator Manners?
Cipactli
Cool Croc Twins
Croc (character)
Crocodile dilemma
Dragon (TV series)
The Enormous Crocodile
Gabby Gator
Gator Tales
Gena the Crocodile
The House on East 88th Street
How Doth the Little Crocodile
I Heart Arlo
Kemono Friends
Killer Croc
Krindlekrax
Leatherhead (Teenage Mutant Ninja Turtles)
Lil Gator Game
"Lyle, Lyle, Crocodile"
"My Big Brother, Boris"
Pic Me
Pogo (comic strip)
Poppets Town
Purple crocodile
Raa Raa the Noisy Lion
Revenge of the 'Gator
Schnappi
Sitting Ducks (TV series)
Solomon Crocodile
Soundwave (Transformers)
Tail 'Gator
Vector the Crocodile
Wally Gator
Where's My Water?
Where's My Water?: Swampy's Underground Adventures
Willa's Wild Life
The Alligator's Toothache
Maisy Mouse
An Octopus Followed Me Home
The Odd Egg
Open Very Carefully
The Three Little Gators
Alligator (film)
Alligator II: The Mutation
An Alligator Named Daisy
Aquarium of the Dead
Battle at Kruger
Black Water (2007 film)
Black Water: Abyss
Blood Surf
Chompa Toung
Crawl (2019 film)
Croc (film)
Crocodile (1980 film)
Crocodile (2000 film)
Crocodile 2: Death Swamp
The Crocodile Hunter: Collision Course
Crocodile Island (film)
Crocodile Love Story
Crocodile Man
Dark Age (film)
Dinocroc
Dinocroc vs. Supergator
Aktiogavialis
Dadagavialis
Dollosuchus
Ferganosuchus
Gavialinae
Gavialis
Gavialis bengawanicus
Gavialis browni
Gavialis pachyrhynchus
Gryposuchinae
Gryposuchus
Hanyusuchus
Hesperogavialis
Ikanogavialis
Melitosaurus
Ocepesuchus
Penghusuchus
Piscogavialis
Rhamphosuchus
Sacacosuchus
Siquisiquesuchus
Tomistoma
Tomistoma cairense
Toyotamaphimeia
Toyotamaphimeia machikanensis
Chance the Snapper
Claude (alligator)
Muja (alligator)
Reggie (alligator)
Saturn (alligator)
Smiley (alligator)
Two-Toed Tom
Kalthifrons
Mekosuchus
Volia
