node,hop_from_category,edges_within_category,edges_outside_category
Neerum Neruppum,0,"{""key"": [""Aada Vandha Deivam"", ""Aggi Pidugu"", ""Ambikapathy (1957 film)"", ""Anandhi (film)"", ""Avan Pithana?"", ""Chakravarthi Thirumagal"", ""En Annan"", ""Kaavalkaaran"", ""Kalyanam Panniyum Brahmachari"", ""Kanavan"", ""Koduthu Vaithaval"", ""L. R. Eswari"", ""M. G. Ramachandran"", ""M. S. Viswanathan"", ""Mattukkara Velan"", ""Mudhal Thethi"", ""Nallavan Vazhvan"", ""Needhikku Thalaivanangu"", ""Netru Indru Naalai (1974 film)"", ""Ninaithadhai Mudippavan"", ""Or Iravu"", ""Oru Thai Makkal"", ""P. Neelakantan"", ""P. Susheela"", ""Poompuhar (film)"", ""Raman Thediya Seethai (1972 film)"", ""S. Janaki"", ""S. P. Balasubrahmanyam"", ""Sange Muzhangu"", ""Thedi Vandha Selvam"", ""Thirudathe"", ""Vayalar Ramavarma""]}","{""key"": [""Alexandre Dumas"", ""Apoorva Sagodharargal (1949 film)"", ""C. L. Anandan"", ""Cheech & Chong's The Corsican Brothers"", ""G. Sakunthala"", ""Gemini Studios"", ""Gora Aur Kala"", ""J. Jayalalithaa"", ""Jayalalithaa"", ""Jyothi Lakshmi"", ""Karikol Raju"", ""Kosaraju Raghavaiah"", ""Kumari Kottam"", ""Manorama (Tamil actress)"", ""Poomalai"", ""R. S. Manohar"", ""S. A. Ashokan"", ""S. V. Ramadas"", ""Shanmugasundari"", ""Start the Revolution Without Me"", ""Swashbuckler film"", ""T. K. Bhagavathi"", ""T. M. Soundararajan"", ""The Bandits of Corsica"", ""The Corsican Brothers"", ""The Corsican Brothers (1917 film)"", ""The Corsican Brothers (1941 film)"", ""The Corsican Brothers (1955 film)"", ""The Corsican Brothers (1961 film)"", ""The Corsican Brothers (1985 film)"", ""The Corsican Brothers (play)"", ""Thengai Srinivasan"", ""Usilai Mani"", ""V. S. Raghavan"", ""Vaali (poet)"", ""Vijaya Narasimha""]}"
Appu Chesi Pappu Koodu,0,"{""key"": [""A. M. Rajah"", ""Akkineni Nageswara Rao"", ""Allu Ramalingaiah"", ""Bagyavathi"", ""Bidaai"", ""C. S. R. Anjaneyulu"", ""Chakrapani (filmmaker)"", ""Chhoti Bahen"", ""Drohi (1948 film)"", ""Ghantasala (musician)"", ""Gundamma Katha"", ""Iruvar Ullam (1963 film)"", ""Jamuna (actress)"", ""Jay Vejay"", ""Jeene Ki Raah"", ""K. V. Reddy"", ""Kadan Vaangi Kalyaanam"", ""L. V. Prasad"", ""Mana Desam"", ""Mangaiyar Thilakam"", ""Manohara (film)"", ""Marcus Bartley"", ""Mayabazar"", ""Miss Mary (1957 film)"", ""Missamma"", ""Missiamma"", ""N. T. Rama Rao"", ""Nagi Reddi"", ""P. Leela"", ""P. Susheela"", ""Padmanabham (actor)"", ""Palnati Yuddham (1947 film)"", ""Paradesi (1953 film)"", ""Pelli Chesi Choodu"", ""Pempudu Koduku"", ""Pingali (writer)"", ""Ramudu Bheemudu"", ""Rani (1952 film)"", ""Relangi (actor)"", ""Relangi Narasimha Rao"", ""S. Rajeswara Rao"", ""S. V. Ranga Rao"", ""Samsaram (1950 film)"", ""Savitri (actress)"", ""Shaadi Ke Baad"", ""Sharada (1957 film)"", ""Shavukaru"", ""Tappu Chesi Pappu Koodu"", ""Thanjai N. Ramaiah Dass"", ""Thayilla Pillai"", ""Vempati Sadasivabrahmam""]}","{""key"": [""1989 Indian general election"", ""Ashish Rajadhyaksha"", ""Chadalavada (actor)"", ""Cult film"", ""Daadi Maa"", ""Damayanti"", ""Dewan Bahadur"", ""E. V. Saroja"", ""Gaana (music streaming service)"", ""Gevacolor"", ""Girija (actress)"", ""Hyderabad"", ""Indian National Congress"", ""Indian independence movement"", ""Indra"", ""Jaggayya"", ""Kasturi Siva Rao"", ""London"", ""Makar Sankranti"", ""Mikkilineni (actor)"", ""Mohanam"", ""Mukkamala (actor)"", ""Nagi Reddy"", ""Nala"", ""Pingali Nagendrarao"", ""Potti Prasad"", ""R. Nageshwara Rao"", ""Rajendra Prasad (actor)"", ""Ramana Reddy"", ""Randor Guy"", ""Saregama"", ""Sify"", ""Suryakantham (actress)"", ""Telugu cinema"", ""Telugu language"", ""The Times of India"", ""Valluri Balakrishna"", ""Vijaya Productions"", ""Vijaya Vauhini Studios"", ""Visakhapatnam"", ""Wimal Dissanayake"", ""Zamindar""]}"
Nindu Manasulu,0,"{""key"": [""A. L. Raghavan"", ""Allu Ramalingaiah"", ""Ghantasala (musician)"", ""Kaikala Satyanarayana"", ""L. R. Eswari"", ""N. T. Rama Rao"", ""P. Susheela"", ""Pithapuram Nageswara Rao"", ""T. V. Raju""]}","{""key"": [""C. Narayana Reddy"", ""Chaya Devi"", ""Daasarathi Krishnamacharyulu"", ""Devika"", ""Dhulipala Seetarama Sastry"", ""Kosaraju Raghavaiah"", ""L. Vijayalakshmi"", ""M. Balaiah"", ""M. Prabhakar Reddy"", ""NTV (India)"", ""Phool Aur Patthar"", ""Raavi Kondala Rao"", ""Raja Babu (actor)"", ""Rajanala Kaleswara Rao"", ""Ramana Reddy"", ""Telugu language"", ""Vanisri""]}"
Kamala Surayya,0,"{""key"": [""Aami"", ""Anal Haq"", ""Anargha Nimisham"", ""Anita Desai"", ""Anuradha Roy (novelist)"", ""Anuragathinte Dinangal"", ""Arundhati Roy"", ""Balyakalasakhi"", ""C. N. Sreekantan Nair"", ""C. Radhakrishnan"", ""C. S. Venkiteswaran"", ""C. V. Balakrishnan"", ""Chandiroor Divakaran"", ""Cheviyorkkuka! Anthimakahalam"", ""Ente Thankam"", ""Esther David"", ""G. R. Indugopan"", ""Irayimman Thampi"", ""Jeet Thayil"", ""John Abraham (director)"", ""K. C. Kesava Pillai"", ""K. J. Baby"", ""K. P. Ramanunni"", ""K. R. Meera"", ""K. T. Muhammed"", ""Kamal (director)"", ""Kavalam Narayana Panicker"", ""Kavitha Balakrishnan"", ""Kozhikodan"", ""M. Mukundan"", ""M. S. Banesh"", ""M. Sukumaran"", ""M. T. Vasudevan Nair"", ""M. V. Devan"", ""Madampu Kunjukuttan"", ""Madhavikutty (film)"", ""Madhupal"", ""Mahesh Dattani"", ""Malayattoor Ramakrishnan"", ""Maranathinte Nizhalil"", ""Mathilukal"", ""Mucheettukalikkarante Makal"", ""Mulk Raj Anand"", ""N. N. Pisharody"", ""N. S. Madhavan"", ""Narendra Prasad"", ""Ntuppuppakkoranendarnnu"", ""O. N. V. Kurup"", ""O. V. Vijayan"", ""Ormayude Arakal"", ""P. Bhaskaran"", ""P. F. Mathews"", ""Padmarajan"", ""Pamman"", ""Parappurath"", ""Pathummayude Aadu"", ""Perumbadavam Sreedharan"", ""Ponkunnam Varkey"", ""Prabha Varma"", ""Premalekhanam"", ""Raghunath Paleri"", ""S. L. Puram Sadanandan"", ""Shabdangal"", ""Socrates K. Valath"", ""Sohanlal"", ""Sudhakar Mangalodayam"", ""T. N. Gopinathan Nair"", ""Thikkodiyan"", ""Thoppil Bhasi"", ""Tolan (medieval poet)"", ""Unnayi Variyar"", ""Uroob"", ""Vaikom Muhammad Basheer"", ""Vayalar Ramavarma"", ""Viddikalude Swargam"", ""Vijayakrishnan"", ""Visappu""]}","{""key"": [""A. Ayyappan"", ""A. C. Sreehari"", ""A. K. Ramanujan"", ""A. R. Raja Raja Varma"", ""Aalahayude Penmakkal"", ""Aalohari Anandam"", ""Aarachaar"", ""Abu Dhabi Sakthi Award"", ""Adil Jussawalla"", ""Aestheticism"", ""Agnisakshi (novel)"", ""Aithihyamala"", ""Akbar Kakkattil"", ""Akkitham Achuthan Namboothiri"", ""Allan Sealy"", ""Alphabetum grandonico-malabaricum sive samscrudonicum"", ""Amit Chaudhuri"", ""Amitav Ghosh"", ""An Artist in Life"", ""Anand (writer)"", ""Anees Salim"", ""Anita Nair"", ""Annie Thayyil"", ""Anoop Sasikumar"", ""Appu Nedungadi"", ""Ara Nazhika Neram"", ""Arabi Malayalam"", ""Arabi Ponnu"", ""Arch Deacon Koshy"", ""Arnos Paathiri"", ""Arohanam (novel)"", ""Arun Joshi"", ""Arundhathi Subramaniam"", ""Asan Smaraka Kavitha Puraskaram"", ""Ashitha (writer)"", ""Ashtamoorthi K. V."", ""Asuravithu (novel)"", ""Attoor Ravi Varma"", ""Avakasikal"", ""Aymanam John"", ""Ayyappa Paniker"", ""B. M. Suhara"", ""B. Sandhya"", ""Babu Bharadwaj"", ""Balachandran Chullikkadu"", ""Balamani Amma"", ""Balyakala Smaranakal"", ""Barsa (novel)"", ""Benyamin (writer)"", ""Bhabani Bhattacharya"", ""Bodheswaran"", ""British Raj"", ""C. J. Thomas"", ""C. L. Jose"", ""C. N. Ahmad Moulavi"", ""C. V. Raman Pillai"", ""C. V. Sreeraman"", ""Calcutta"", ""Chakara"", ""Chaman Nahal"", ""Champukkal"", ""Chandramathi"", ""Changampuzha Krishna Pillai"", ""Chemmeen (novel)"", ""Cherukad"", ""Cherukad Award"", ""Cherusseri Namboothiri"", ""Chronicle of a Corpse Bearer"", ""Cuckold (novel)"", ""Cyrus Mistry (writer)"", ""D. Vinayachandran"", ""Delhi Gadhakal"", ""Dom Moraes"", ""E. Harikumar"", ""E. Vasu"", ""Edappalli Raghavan Pillai"", ""Edasseri Award"", ""Edasseri Govindan Nair"", ""Em and the Big Hoom"", ""Ente Katha"", ""Ezhacherry Ramachandran"", ""Ezhuthachan Puraskaram"", ""Francis Itty Cora"", ""G. N. Devy"", ""G. Sankara Kurup"", ""G. Sankara Pillai"", ""G. Shankara Kurup"", ""George Mathan"", ""George Onakkoor"", ""Goat Days"", ""God's Mischief"", ""Government of Kerala"", ""Gracy (writer)"", ""Gurusagaram"", ""Hermann Gundert"", ""I. K. K. Menon"", ""Illustrated Weekly of India"", ""India"", ""India after Gandhi"", ""Indian English literature"", ""Indian poetry in English"", ""Indulekha (novel)"", ""Inglorious Empire"", ""Ini Njan Urangatte"", ""Inside the Haveli"", ""Jayanta Mahapatra"", ""Jerry Pinto"", ""Jewish copper plate"", ""Jnanappana"", ""Johann Ernst Hanxleden"", ""Jose Panachippuram"", ""Joseph Mundasseri"", ""Joseph Mundassery"", ""Joy J. Kaimaparamban"", ""Judeo-Malayalam"", ""K. Damodaran"", ""K. G. Sankara Pillai"", ""K. L. Mohana Varma"", ""K. L. Mohanavarma"", ""K. M. Daniel"", ""K. M. George (writer)"", ""K. N. Ezhuthachan"", ""K. N. Panikkar"", ""K. P. Appan"", ""K. P. Joseph Kalarickal"", ""K. P. Kesava Menon"", ""K. P. Narayana Pisharody"", ""K. P. Nirmal Kumar"", ""K. P. Sankaran"", ""K. R. Srinivasa Iyengar"", ""K. Rekha"", ""K. Satchidanandan"", ""K. Surendran"", ""K. Thayat"", ""K. V. Anoop"", ""K. V. Mohan Kumar"", ""K. V. Ramakrishnan"", ""Kaalam (novel)"", ""Kadammanitta Ramakrishnan"", ""Kadathanat Madhavi Amma"", ""Kadavanad Kuttikrishnan"", ""Kainikkara Kumara Pillai"", ""Kainikkara Padmanabha Pillai"", ""Kakkanadan"", ""Kanam EJ"", ""Karunakaran (Malayalam writer)"", ""Karur Neelakanta Pillai"", ""Kattakayam Cherian Mappillai"", ""Kayar"", ""Keki N. Daruwalla"", ""Kerala"", ""Kerala Legislative Assembly"", ""Kerala Panineeyam"", ""Kerala Sahitya Akademi"", ""Kerala Sahitya Akademi Award for Biography and Autobiography"", ""Kerala Sahitya Akademi Award for Children's Literature"", ""Kerala Sahitya Akademi Award for Drama"", ""Kerala Sahitya Akademi Award for Humour"", ""Kerala Sahitya Akademi Award for Literary Criticism"", ""Kerala Sahitya Akademi Award for Miscellaneous Works"", ""Kerala Sahitya Akademi Award for Novel"", ""Kerala Sahitya Akademi Award for Overall Contributions"", ""Kerala Sahitya Akademi Award for Poetry"", ""Kerala Sahitya Akademi Award for Scholarly Literature"", ""Kerala Sahitya Akademi Award for Story"", ""Kerala Sahitya Akademi Award for Translation"", ""Kerala Sahitya Akademi Award for Travelogue"", ""Kerala Sahitya Akademi Fellowship"", ""Kerala State Film Award for Best Story"", ""Kerala Varma Valiya Koil Thampuran"", ""Kesari Balakrishna Pillai"", ""Kesavan's Lamentations"", ""Kesavante Vilapangal"", ""Khadija Mumtaz"", ""Khasakkinte Itihasam"", ""Kilippattu"", ""Kiliroor Radhakrishnan"", ""Kiran Nagarkar"", ""Kocharethi"", ""Kottarathil Sankunni"", ""Kottayam Pushpanath"", ""Kovilan"", ""Krishna Chaithanya"", ""Krishnagatha"", ""Kuchelavritham Vanchippattu"", ""Kumaran Asan"", ""Kunchan Nambiar"", ""Kundalatha"", ""Kureepuzha Sreekumar"", ""Kuttikrishna Marar"", ""Kuttipuzha Krishna Pillai"", ""Laburnum For My Head"", ""Lajo Jose"", ""Lalitha Lenin"", ""Lalithambika Antharjanam"", ""Leela Devi"", ""List of Indian poets"", ""List of Indian writers"", ""List of Malayalam literary awards"", ""List of Sahitya Akademi Award winners for English"", ""M. Govindan"", ""M. K. Kumaran"", ""M. K. Menon"", ""M. K. Sanu"", ""M. Krishnan Nair (author)"", ""M. Leelavathy"", ""M. N. Karassery"", ""M. N. Sathyaardhi"", ""M. N. Vijayan"", ""M. P. Appan"", ""M. P. Paul"", ""M. P. Sankunni Nair"", ""M. P. Veerendra Kumar"", ""M. R. Chandrasekharan"", ""Madhavikutty"", ""Madras Presidency"", ""Maharashtra"", ""Makarakoythu"", ""Malathi Rao"", ""Malayalam"", ""Malayalam drama"", ""Malayalam grammar"", ""Malayalam literature"", ""Malayalam novel"", ""Malayalam poetry"", ""Malayalam script"", ""Malayali"", ""Malayanma"", ""Malayath Appunni"", ""Mallika Yunis"", ""Mamang Dai"", ""Manipal Academy of Higher Education"", ""Manju (novel)"", ""Mannan language"", ""Manoj Kuroor"", ""Manushyanu Oru Aamukham"", ""Mappila dialect"", ""Marguerite Duras"", ""Marthandavarma (novel)"", ""Mary John Thottam"", ""Mathrubhumi Literary Award"", ""Mathrubhumi Yearbook"", ""Maya (Surendran novel)"", ""Mayyazhippuzhayude Theerangalil"", ""Meenakshi Mukherjee"", ""Memories of Rain"", ""Mohanakrishnan Kaladi"", ""Morning Face"", ""Moyinkutty Vaidyar"", ""Mozhi (transliteration)"", ""Mullu Kurumba language"", ""Muthassi (novel)"", ""Muttathu Varkey"", ""Muttathu Varkey Award"", ""My Story (Das book)"", ""N. Balamani Amma"", ""N. K. Damodaran"", ""N. Krishna Pillai"", ""N. Mohanan"", ""N. N. Kakkad"", ""N. N. Kakkadu"", ""N. P. Chellappan Nair"", ""N. P. Mohammed"", ""N. V. Krishna Warrier"", ""N. V. P. Unithiri"", ""Naadan Premam"", ""Naalukettu (novel)"", ""Nair"", ""Nakshathrangale Kaaval"", ""Nalapat Narayana Menon"", ""Namita Gokhale"", ""Nandanar (author)"", ""Narayan (writer)"", ""Nayantara Sahgal"", ""Nellikkal Muraleedharan"", ""Niharranjan Ray"", ""Nileena Abraham"", ""Nirad C. Chaudhuri"", ""Nissim Ezekiel"", ""O. N. V. Literary Award"", ""O. V. Vijayan Literary Award"", ""Odakkuzhal Award"", ""Odayil Ninnu"", ""Olappamanna Subramanian Namboothirippad"", ""Omanathinkal Kidavo"", ""Omchery N. N. Pillai"", ""Oru Desathinte Katha"", ""Oru Sankeerthanam Pole"", ""Oru Theruvinte Katha"", ""Othappu"", ""Oyyarathu Chandu Menon"", ""P. Ayyaneth"", ""P. K. Balakrishnan"", ""P. Kesavadev"", ""P. Kesavadev Literary Award"", ""P. Kunhiraman Nair"", ""P. Narendranath"", ""P. P. Ramachandran"", ""P. R. Nathan"", ""P. R. Shyamala"", ""P. Surendran"", ""P. Valsala"", ""Padmarajan Award"", ""Pala Narayanan Nair"", ""Palayam Juma Masjid"", ""Paleri Manikyam: Oru Pathirakolapathakathinte Katha (novel)"", ""Pandy Malayalam"", ""Pattathuvila Karunakaran"", ""Paul Chirakkarode"", ""Paul Zacharia"", ""Peruvazhiyambalam (novel)"", ""Ponjikkara Rafi"", ""Ponni (novel)"", ""Poonthanam"", ""Pravasam"", ""Punaloor Balan"", ""Punathil Kunjabdulla"", ""Pune"", ""Punnayurkulam"", ""Purogamana Kala Sahitya Sangham"", ""Puthen Pana"", ""Puthezhath Raman Menon"", ""Puthussery Ramachandran"", ""R. K. Narayan"", ""R. Narayana Panickar"", ""Raja Rao"", ""Rajmohan Gandhi"", ""Ramachandra Guha"", ""Ramanan (play in verse)"", ""Randamoozham"", ""Randidangazhi"", ""Rani (poem)"", ""Rathinirvedam (novel)"", ""Rich Like Us"", ""Romanisation of Malayalam"", ""Ronald E. Asher"", ""Rupa Bajwa"", ""Ruskin Bond"", ""S. Guptan Nair"", ""S. Gupthan Nair"", ""S. Hareesh"", ""S. Joseph"", ""S. K. Pottekkatt"", ""S. Rajasekharan"", ""Sabeena Rafi"", ""Sahithya Pravarthaka Co-operative Society"", ""Sahitya Akademi"", ""Sahitya Akademi Award"", ""Sanjayan"", ""Santhosh Echikkanam"", ""Sarada (novel)"", ""Sarah Joseph (author)"", ""Sarah Thomas (writer)"", ""Sarvavijnanakosam"", ""Sarvepalli Gopal"", ""Satchidanandan"", ""Satyan Madakkara"", ""Scholar Extraordinary"", ""Sethu (writer)"", ""Shadow From Ladakh"", ""Shashi Deshpande"", ""Shashi Tharoor"", ""Shebaly"", ""Shihabuddin Poythumkadavu"", ""Shiv K. Kumar"", ""Short story writer"", ""Sippy Pallippuram"", ""Smarakasilakal"", ""Sooranad Kunjan Pillai"", ""Sree Bhoothanaathopakhyaanam"", ""Sreedevi Kakkad"", ""Sreekrishnapuram Krishnankutty"", ""State Institute of Encyclopaedic Publications"", ""Subhash Chandran"", ""Sufi Paranja Katha"", ""Sugathakumari"", ""Sukumar Azhikode"", ""Sumangala"", ""Sundarikalum Sundaranmarum"", ""Sunetra Gupta"", ""T. D. Ramakrishnan"", ""T. M. Chummar"", ""T. P. Rajeevan"", ""T. Padmanabhan"", ""T. V. Kochubava"", ""T. V. Varkey"", ""Tatapuram Sukumaran"", ""Temsula Ao"", ""Thakazhi Sivasankara Pillai"", ""Thanuppu"", ""The Algebra of Infinite Justice"", ""The Book of Passing Shadows"", ""The Golden Gate (Seth novel)"", ""The Guide"", ""The Last Labyrinth"", ""The Mammaries of the Welfare State"", ""The Perishable Empire"", ""The Serpent and the Rope"", ""The Shadow Lines"", ""The Times of India"", ""The Tribal World of Verrier Elwin"", ""Thirunalloor Karunakaran"", ""Thiruvananthapuram"", ""Thiruvananthapuram Lok Sabha constituency"", ""Thomas Joseph"", ""Thottiyude Makan"", ""Thunchaththu Ezhuthachan"", ""Travancore"", ""U. A. Khader"", ""U. K. Kumaran"", ""Ulloor Award"", ""Ulloor S. Parameswara Iyer"", ""Ummachu"", ""University of Calicut"", ""Unnikrishnan Puthur"", ""Unnikrishnan Thiruvazhiyode"", ""Unnuneeli Sandesam"", ""Upamanyu Chatterjee"", ""V. C. Sreejan"", ""V. J. James"", ""V. K. N."", ""V. M. Girija"", ""V. Madhusoodanan Nair"", ""V. P. Sivakumar"", ""V. T. Bhattathiripad"", ""V. Unnikrishnan Nair"", ""V. V. K. Valath"", ""V Madhusoodanan Nair"", ""Vadakkan Pattukal"", ""Vadakkumkur Rajarajavarmaraja"", ""Vailoppilli Sreedhara Menon"", ""Vaisakhan"", ""Vallachira Madhavan"", ""Vallathol Award"", ""Vallathol Narayana Menon"", ""Vanchippattu"", ""Vasanavikriti"", ""Vasanthathile Poomarangal"", ""Vayalar Award"", ""Veerankutty"", ""Vengayil Kunhiraman Nayanar"", ""Venmani School"", ""Vennikkulam Gopala Kurup"", ""Verrier Elwin"", ""Verukal"", ""Vikram Seth"", ""Vinoy Thomas"", ""Vishnunarayanan Namboothiri"", ""Viswasahityavijnanakosam"", ""Vyloppilli Sreedhara Menon"", ""Writers Workshop"", ""Yakshi (novel)"", ""Yanthram"", ""Yusuf Ali Kecheri""]}"
Baava Baamaida,0,"{""key"": [""Hamsalekha"", ""Jayanthi (actress)"", ""K. S. Chithra"", ""Kishore Sarja"", ""Rambha (actress)"", ""S. P. Balasubrahmanyam"", ""Sadhu Kokila"", ""Shiva Rajkumar"", ""Sonu Nigam""]}","{""key"": [""Chiranjeevi Sarja"", ""Doddanna"", ""Kannada"", ""Karibasavaiah"", ""Kavita Krishnamurthy"", ""Loknath"", ""Pandithurai"", ""Prakash Rai"", ""Ramu (Film Producer)"", ""Rani (Tamil actress)"", ""The Times of India"", ""Vinaya Prasad""]}"
Idavelakku Sesham,0,"{""key"": [""Adoor Bhasi"", ""Jagathy Sreekumar"", ""Jose Prakash"", ""Joshiy"", ""K. J. Yesudas"", ""K. P. Brahmanandan"", ""Kalaranjini"", ""Kaloor Dennis"", ""M. G. Soman"", ""Madhu (actor)"", ""Mammootty"", ""Poovachal Khader"", ""Prathapachandran"", ""Raveendran"", ""Santhakumari (Malayalam actress)"", ""Srividya"", ""Vani Jairam""]}","{""key"": [""Cinema of India"", ""India"", ""Malayalam Language"", ""Malayalam language"", ""P. K. Abraham"", ""Sathaar"", ""Silk Smitha"", ""Sumalatha""]}"
Maatho Pettukoku,0,"{""key"": [""A. Kodandarami Reddy"", ""Abhilasha (1983 film)"", ""Allari Alludu"", ""Anasuyamma Gari Alludu"", ""Annupamaa"", ""Anubandham (1984 film)"", ""Attaku Yamudu Ammayiki Mogudu"", ""Balabhadrapatruni Ramani"", ""Bazaar Rowdy"", ""Bhairava Dweepam"", ""Bhale Donga"", ""Bhanumati Gari Mogudu"", ""Bhargava Ramudu"", ""Bobbili Simham"", ""Challenge (1984 film)"", ""Chittemma Mogudu"", ""Dampatyam"", ""Dharma Kshetram"", ""Donga (film)"", ""Donga Mogudu"", ""Giri Babu"", ""Godava"", ""Goonda (film)"", ""Gopala Krishnudu"", ""Iddaru Iddare"", ""Jabilamma Pelli"", ""Jamai Raja (film)"", ""Jebu Donga (1987 film)"", ""K. S. Chithra"", ""Kasko"", ""Khaidi (1983 film)"", ""Kirathakudu"", ""Kirayi Kotigadu"", ""Kirayi Rowdylu"", ""Kondaveeti Donga"", ""Kota Srinivasa Rao"", ""Madhavapeddi Suresh"", ""Mano (singer)"", ""Marana Mrudangam"", ""Muddula Mogudu (1997 film)"", ""Nari Nari Naduma Murari"", ""Nippu Ravva"", ""Nyayam Kavali"", ""Oka Radha Iddaru Krishnulu"", ""P. Susheela"", ""Pasivadi Pranam"", ""Pokiri Raja"", ""Prema Pichollu"", ""Premakke Sai"", ""President Gari Pellam"", ""Priyaragalu"", ""Punnami Naagu (2009 film)"", ""Punya Bhoomi Naa Desam"", ""Rakshasudu (1986 film)"", ""Rakta Sindhuram"", ""Raktabhishekam"", ""Ramarajyamlo Bheemaraju"", ""Rambha (actress)"", ""Ramudochadu"", ""Rustum (1984 film)"", ""S. Gopal Reddy"", ""S. P. Balasubrahmanyam"", ""Sivudu Sivudu Sivudu"", ""Sri Krishnarjuna Vijayam"", ""Sri Ranga Neethulu"", ""Surya IPS"", ""Tappu Chesi Pappu Koodu"", ""Tiragabadda Telugubidda"", ""Trinetrudu"", ""V. S. R. Swamy"", ""Veta (1986 film)"", ""Vicky Daada"", ""Vijetha""]}","{""key"": [""Action film"", ""Ahuti Prasad"", ""Babu Mohan"", ""Baladitya (actor)"", ""Bhuvanachandra"", ""C. Narayana Reddy"", ""Captain Raju"", ""Chinna (Telugu actor)"", ""Disco Shanthi"", ""Film score"", ""Gautam Raju"", ""Item number"", ""Kalpana Rai"", ""Kirai Dada"", ""Mutamestri"", ""Nandamuri Balakrishna"", ""Okato Number Kurraadu"", ""Raghuvaran"", ""Rallapalli (actor)"", ""Roja Selvamani"", ""Sakshi Ranga Rao"", ""Sujatha (actress)"", ""Telugu language"", ""Vennelakanti"", ""Y. Vijaya""]}"
Bridge and Roof Company (India),0,"{""key"": []}","{""key"": [""Central Public Sector Enterprises"", ""India"", ""Kolkata""]}"
Leslie T. Peacocke,0,"{""key"": []}","{""key"": [""Bab the Fixer"", ""Bangalore"", ""Black Beauty (1921 film)"", ""British Raj"", ""His Neighbor's Wife"", ""Neptune's Daughter (1914 film)"", ""Shadows of Suspicion"", ""Sidney P. Dones"", ""Stan Laurel"", ""The Clean Gun""]}"
Seema (1971 film),0,"{""key"": [""Asha Bhosle"", ""Chand Usmani"", ""Gulzar"", ""Kishore Kumar"", ""Rakesh Roshan"", ""Simi Garewal"", ""Suman Kalyanpur""]}","{""key"": [""Abhi Bhattacharya"", ""B. K. Karanjia"", ""Bharathi Vishnuvardhan"", ""Filmfare"", ""Kabir Bedi"", ""List of Bollywood films of 1971"", ""Mohammad Rafi"", ""Mohammed Rafi"", ""Padma Khanna"", ""Shankar Jaikishan"", ""Sharda Rajan Iyengar"", ""Sulochana Devi"", ""Sushma Shrestha""]}"
Keerti Nagpure,0,"{""key"": [""Ankit Gupta""]}","{""key"": [""Beta Hi Chahiye"", ""Colors TV"", ""Desh Ki Beti Nandini"", ""Ek Veer Ki Ardaas...Veera"", ""Gold Award for Debut in a Lead Role (Female)"", ""Gold Awards"", ""Hasan Zaidi"", ""Indian Telly Award for Fresh New Face - Female"", ""Indian Telly Awards"", ""Laal Ishq (2018 TV series)"", ""Laal Ishq (Indian TV series)"", ""List of Indian television actresses"", ""Maharashtra"", ""Marathi cinema"", ""Marathi language"", ""Mumbai"", ""Na Bole Tum Na Maine Kuch Kaha"", ""Naagarjuna \u2013 Ek Yoddha"", ""Parichay (TV series)"", ""Pyar Ka Pehla Naam: Radha Mohan"", ""Rahil Azam"", ""Raqesh Bapat"", ""Samir Soni"", ""Sony LIV"", ""Television in India""]}"
Behram Khan,0,"{""key"": [""Gajanan Jagirdar"", ""Kamal Amrohi""]}","{""key"": [""Bairam Khan"", ""Bollywood"", ""Bollywood films of 1946"", ""Ghulam Haider (composer)"", ""Hakim Ahmad Shuja"", ""Lalita Pawar"", ""Mehtab (actress)""]}"
Amudha Gaanam,0,"{""key"": [""Ilaiyaraaja"", ""K. J. Yesudas"", ""K. Rangaraj"", ""P. Susheela"", ""S. Janaki"", ""Shalini Ajith"", ""Vani Jairam""]}","{""key"": [""Abhinandana"", ""Carnatic raga"", ""Film Companion"", ""Nalini (actress)"", ""Suddha Dhanyasi"", ""Sulakshana (actress)"", ""Telugu language"", ""Vijayakanth""]}"
Main Aur Charles,0,"{""key"": [""Jonita Gandhi"", ""Kanika Kapoor"", ""Lucky Morani"", ""Prawaal Raman"", ""Saba Azad""]}","{""key"": [""Adil Hussain"", ""Alexx O'Nell"", ""Bollywood"", ""Charles Sobhraj"", ""Crime film"", ""Delhi"", ""Dijana Dejanovic"", ""Filmfare"", ""Goa"", ""Mandana Karimi"", ""Mumbai"", ""NDTV"", ""Nandu Madhav"", ""Network 18"", ""News18"", ""Randeep Hooda"", ""Richa Chadda"", ""Richa Chaddha"", ""Sanjeev-Darshan"", ""Soundtrack album"", ""T-Series (company)"", ""The Times Group"", ""Times of India"", ""Tisca Chopra"", ""Udaipur"", ""Vipin Sharma""]}"
